"","source","snippet","summary","date","doc_type","id","headline","author"
"1","https://www.nytimes.com/2002/04/21/nyregion/nassau-police-budget-fight-hears-an-echo-of-sept-11.html","LAST September, in the hours and days after the terrorist attacks on the World Trade Center, Long Island police officers in the hundreds rushed to help out in New York City. Many of the officers who stayed on the Island were reassigned to guard pl...","Article on debate between Police Benevolent Assn and new County Exec Thomas Suozzi over what impact, if any, September 11 terrorist attacks had on crime rate in Nassau County, NY; Suozzi, seeking to close budget gap, wants $30 million in concessions from union, including cutting 300 officers from force; union president Gary DelaRaba holds low crime rate is result of size of current force; graph (M)","2002","News","4fd2358d8eb7c8105d7c71b9","Nassau Police Budget Fight Hears an Echo of Sept. 11","By PHILLIP LUTZ"
"2","https://www.nytimes.com/2002/09/28/nyregion/threats-responses-buffalo-case-bahrain-presence-crucial-time-led-arrest.html","Mukhtar al-Bakri could hardly have chosen a worse time and place for the wedding his family had arranged.    The date was Sept. 10, the eve of the anniversary of the World Trade Center attack, which had American security officials around the globe...","Government officials say that it was Mukhtar al-Bakri's presence in Bahrain at crucial time--Sept 10, eve of anniversary of terrorist attacks--that led to his arrest rather than any overt act or knowledge of unfolding plot; authorities were fearful of new strike; authorities say they had their eye on Bakri, Yemeni-American, for at least two months because of his phone calls and e-mail correspondence with Kamal Derwish, who they believe is recruiter for Al Qaeda (M)","2002","News","4fd238938eb7c8105d7cb653","Bahrain Presence at Crucial Time Led to Arrest","By JOHN KIFNER"
"3","https://www.nytimes.com/2002/12/08/nyregion/parks-dept-crews-will-check-locks-on-bathrooms-and-playgrounds-in-wake-of-rape.html","The City Parks and Recreation Department plans to institute roving crews to check whether park lavatories and playgrounds are locked each day, after a 23-year-old woman was gang-raped in a Brooklyn park bathroom little more than a week ago.     Pa...","New York City Parks and Recreation Dept will deploy crews to check whether all city park lavatories are locked each day after gang-rape of woman in Lincoln Terrace Park, Brooklyn, lavatory; other safety measures noted; police sketches of three suspects (M)","2002","News","4fd223358eb7c8105d7a8a2e","Parks Dept. Crews Will Check Locks on Bathrooms and Playgrounds in Wake of Rape","By LYDIA POLGREEN"
"4","https://www.nytimes.com/2001/11/12/nyregion/under-bloomberg-kelly-will-guide-police-again.html","Raymond W. Kelly, who was New York City's 37th police commissioner, under Mayor David N. Dinkins, has accepted Mayor-elect Michael R. Bloomberg's offer to return to 1 Police Plaza as the city's 41st police commissioner, two people familiar with th...","Raymond W Kelly, New York City's police commissioner under Mayor David N Dinkins, reportedly accepts Mayor-elect Michael R Bloomberg's offer to return as his police commissioner; served as adviser to Bloomberg on law enforcement issues during mayoral campaign; laid out in recent interview some principles that would guide Police Department under Bloomberg administration; spoke of building on crime-fighting successes of Giuliani years while working to improve police-community relations; photo (M)","2001","News","4fd219668eb7c8105d797745","Under Bloomberg, Kelly Will Guide Police Again","By MICHAEL COOPER"
"5","https://www.nytimes.com/2002/10/13/nyregion/new-york-s-homeless-back-out-in-the-open.html","During his routine of supervising the McDonald's in Pennsylvania Station each day, Julio Velandia, the assistant manager, says he sees more homeless people than he did a year ago. ''Those kind of people bother the customers,'' he said, ''and they ...","Homeless people, whose presence seemed to decline during flush years of Giuliani administration, are suddenly more visible in New York City, but city officials insist problem is more one of perception than of reality; officials say they will conduct annual census of street population so real data will be available to deal with problem; advocates for city's poor insist weak economy and growing lack of supportive housing for homeless who are mentally ill have led to increase in number of people sleeping in streets; say average number of single adults in city shelters is 7,728 per night, highest since 1991; say soup kitchens and feeding vans are reporting crowds not seen since late 1980's, when number of city's homeless peaked; reports of increasing homelessness have alarmed business coalitions and city officials, and police commanders in Manhattan below 59th Street have drawn up plans to address any homeless encampments swiftly; Bloomberg administration officials say there has been no change in policy dealing with homeless and no lesser effort to disperse them from streets than under Mayor Rudolph W Giuliani; graph (M)","2002","News","4fd23cf78eb7c8105d7d2ed2","New York's Homeless, Back Out in the Open","By LESLIE KAUFMAN and KEVIN FLYNN"
"6","https://www.nytimes.com/2002/11/24/world/the-military-us-at-work-at-saudi-base-but-war-role-is-uncertain.html","A spindly U-2 spy plane turns silently overhead before disappearing into the distance, presumably for the skies over Baghdad.     But while the United States is free to use this base to watch Iraq, what role the base might play if war breaks out i...",NA,"2002","News","4fd289078eb7c8105d85a838","The Military; U.S. at Work at Saudi Base but War Role Is Uncertain","By CRAIG S. SMITH"
"7","https://www.nytimes.com/2002/12/08/world/threats-responses-terror-network-europeans-fear-that-threat-radical-islamists.html","Political leaders and police investigators across Europe have concluded that the threat of terrorism from Al Qaeda and other radical Islamic groups is more serious than they had earlier assumed and may take years to neutralize.     Recent recorded...","Political leaders and police investigators across Europe conclude that threat of terrorism from Al Qaeda and other radical Islamic groups is more serious than they have assumed and may take years to neutralize; say recent investigations have uncovered surprisingly well-established networks of Muslim militants with potential to commit terrorist acts and affiliations that stretch across Europe to operatives in North America, North Africa, Middle East and Central Asia; disagree over extent to which Europe is actually more vulnerable to terrorism since Sept 11; map shows recent law enforcement activity against suspected terrorists in Europe (M)","2002","News","4fd2207b8eb7c8105d7a3eea","Europeans Fear That the Threat From Radical Islamists Is Increasing","By ELAINE SCIOLINO and DESMOND BUTLER"
"8","https://www.nytimes.com/2002/11/24/nyregion/work-on-subway-tracks-halted-after-the-deaths-of-two-workers.html","All nonemergency track work in the New York City subway system was halted yesterday after the second worker in two days was struck and killed by a train in Manhattan.    New York City Transit called for the 24-hour freeze to conduct a review of sa...","Nonemergency track work in New York City subway system is halted after second worker in two days is struck and killed by train in Manhattan; New York City Transit calls for 24-hour freeze to conduct review of safety procedures as transit union officials instruct track crews to stop all work, raising specter of major delays; cause of latest accident is under investigation; worker Kurien Baby was in tunnel 100 feet south of Canal St station when northbound E train hit him at 10:30 pm on Nov 22; both Baby and worker killed day earlier, Joy Antony, were assigned to small cleaning-and-maintenance crews that do not have member dedicated to flagging oncoming trains and alerting them to crew's presence; union officials say deaths could have been prevented had transit agency followed its own guidelines and assigned person to watch for trains while workers were on tracks; photos (M)","2002","News","4fd26b288eb7c8105d822e75","Work on Subway Tracks Halted After the Deaths of Two Workers","By LYDIA POLGREEN"
"9","https://www.nytimes.com/2002/11/08/nyregion/news-summary-811157.html","INTERNATIONAL   A3-12    Bush Warns Hussein; Sees Resolution Approval  With the Security Council moving toward approving a resolution to force Saddam Hussein to disarm, President Bush warned that if Mr. Hussein failed to comply, Washington and its...",NA,"2002","Summary","4fd289048eb7c8105d85a6e5","NEWS SUMMARY",NA
"10","https://www.nytimes.com/2002/05/04/nyregion/more-officers-for-times-sq.html","The Police Department will assign more uniformed and undercover officers to Times Square in response to anecdotal reports that prostitution and low-level drug dealing are rising, Police Commissioner Raymond W. Kelly said yesterday.  ","New York City police department will assign more uniformed and undercover officers to Times Square in response to reports of increased prostitution and low-level drug dealing (S)","2002","News","4fd27f598eb7c8105d849449","More Officers for Times Sq.",NA
"11","https://www.nytimes.com/2002/11/12/world/terrorist-target-frantic-thailand-says-it-is-safe.html","No country has honed its image with more care than Thailand and one result has been a windfall: nearly $7 billion a year in tourism revenue.     Enchanting, delightful, charming, gentle, magical -- an entire vocabulary has been created to describe...","Thailand, with nearly $7 billion in tourism revenue annually, anxiously seeks to refute warnings of those who put it at top of list of terrorist warnings following attack on Bali last month; military has begun a 'Thailand is safe' campaign and Thai Tourism Authority has budgeted more than $1 million for blitz of foreign tour companies; map (M)","2002","News","4fd23baf8eb7c8105d7d0d10","Terrorist Target? Frantic Thailand Says It Is Safe","By SETH MYDANS with KEITH BRADSHER"
"12","https://www.nytimes.com/2001/07/19/us/police-in-cincinnati-pull-back-in-wake-of-riots.html","Three months after this city was traumatized by street clashes and vandalism, the police have retreated from ''proactive'' patrols in black neighborhoods, saying they fear fresh charges of racism.    During this period, there has been a six-fold i...","Police in Cincinnati retreat from 'proactive' patrols in black neighborhoods, saying they fear fresh charges of racism in city that was traumatized by street clashes and vandalism in April; since then, there has been six-fold increase in shooting incidents citywide, with all but one victim black; this has further polarized city; Keith A Fangman, president of Fraternal Order of Police union, says police are 'shellshocked' by lack of political support and rising tide of investigations and complaints; insists that 50-percent drop in arrests since mid-April is not job action; there has also been 55 percent decline in traffic stops, tactic that Fangman defends as crucial to policing but that blacks often call harassment rooted in racial profiling; black civic and church leaders accuse police of shirking their duty out of resentment toward investigations by Dept of Justice and FBI into accusations of brutality, as well as toward growing docket of civil lawsuits that allege abuses; police chief, Tom Streicher, expresses sympathy for his officers; photos (M)","2001","News","4fd25c0d8eb7c8105d809d24","Police in Cincinnati Pull Back in Wake of Riots","By FRANCIS X. CLINES"
"14","https://www.nytimes.com/2002/10/28/nyregion/burden-grows-on-services-for-teenagers.html","Recent changes in state law are expected to double the number of parents requesting government help with their runaway, truant or delinquent teenagers, straining child welfare services at a time of budget cuts.    The potential flood of children 1...","Recent changes in New York State law are expected to double number of parents requesting government help with their runaway, truant or delinquent teenagers, straining child welfare services at time of budget cuts; potential flood of children 16 to 18 years old--often toughest teenagers to reach--could cause increase in total number entering foster care, after five years of declines; under state law, any parent can demand that city help supervise and even take custody of any child who is considered 'truant,' 'ungovernable' or 'incorrigible' (M)","2002","News","4fd23a648eb7c8105d7ceab5","Burden Grows On Services For Teenagers","By LESLIE KAUFMAN"
"15","https://www.nytimes.com/2002/09/22/nyregion/news-summary-009725.html","INTERNATIONAL   3-22    Israel Says It Will Strike If It Is Attacked by Iraq  Prime Minister Ariel Sharon of Israel has informed the Bush administration that he plans to strike back if Iraq attacks Israel, marking a major shift in thinking since t...","Correction of entry in Sept 22 Television sectionschedule of programs","2002","Summary","4fd222858eb7c8105d7a7e1b","NEWS SUMMARY",NA
"16","https://www.nytimes.com/2002/12/22/world/left-behind-as-oil-riches-flow-poor-village-cries-out.html","Only a creek separates this village from the vast ChevronTexaco terminal that pumps oil deep in West Africa's great Niger Delta, but most of the village women who raided the terminal one day in July had never crossed over before.    Just after sun...","ChevronTexaco's relationship with Nigeria's poor comes under scrutiny in wake of occupation of its terminal in Niger Delta by most of women from village of Ugborodov, who saw for first time how Americans who work there live and how little their lives have benefited from company's four-decade-long presence; Chevron keeps 40 percent of oil revenue it generates in Nigeria and gives 60 percent to Nigerian government, which has spent little of its share to improve lives of its people; Chevron chief executive, David J O'Reilly, acknowledges company's obligation to raise standard of living in Nigeria; photos; map (L)","2002","News","4fd227d48eb7c8105d7b0eac","As Oil Riches Flow, Poor Village Cries Out","By NORIMITSU ONISHI"
